date_day,distance,captures,distance_diff,captures_diff,family
2024-07-21,75.10074311348377,462,,,stitch
2024-07-22,5.316639287835896,89,-69.78410382564788,-373.0,stitch
2024-07-23,8.14877817928664,119,2.832138891450745,30.0,stitch
2024-07-24,24.851398455146786,292,16.702620275860145,173.0,stitch
2024-08-05,68.28913113884437,614,43.43773268369758,322.0,stitch
2024-08-06,23.228548639234294,171,-45.06058249961008,-443.0,stitch
2024-08-07,173.47651845317625,892,150.24796981394195,721.0,stitch
2024-08-08,30.95067889501837,182,-142.52583955815788,-710.0,stitch
2024-08-09,37.48942018446693,218,6.538741289448559,36.0,stitch
2024-08-10,93.64988429823478,444,56.16046411376785,226.0,stitch
2024-08-11,83.39517028858046,481,-10.254714009654322,37.0,stitch
2024-08-12,8.007564907146227,72,-75.38760538143423,-409.0,stitch
2024-08-13,36.370775310751014,185,28.36321040360479,113.0,stitch
2024-08-14,67.88088664807796,401,31.510111337326947,216.0,stitch
2024-08-15,65.14102811961624,391,-2.739858528461724,-10.0,stitch
2024-08-16,45.116955301901605,334,-20.024072817714632,-57.0,stitch
2024-08-18,35.09124906323068,188,-10.025706238670928,-146.0,stitch
2024-08-19,102.03694506090139,712,66.94569599767071,524.0,stitch
2024-08-20,57.43851605086315,365,-44.59842901003824,-347.0,stitch
2024-08-21,67.12574527126473,362,9.687229220401584,-3.0,stitch
2024-08-22,40.39781809051451,282,-26.72792718075022,-80.0,stitch
2024-08-23,54.99513862464594,301,14.597320534131427,19.0,stitch
2024-08-25,94.07932664518252,512,39.08418802053658,211.0,stitch
2024-08-26,107.3167086605932,537,13.237382015410688,25.0,stitch
2024-08-27,1.8504209717534594,26,-105.46628768883974,-511.0,stitch
2024-08-28,113.20518607043178,587,111.35476509867831,561.0,stitch
2024-08-29,40.84798484537321,211,-72.35720122505856,-376.0,stitch
2024-08-30,88.84588310279742,500,47.997898257424204,289.0,stitch
2024-08-31,6.233764960450189,32,-82.61211814234723,-468.0,stitch
2024-09-01,24.535574861353513,175,18.301809900903326,143.0,stitch
2024-09-02,18.12904418764701,166,-6.406530673706502,-9.0,stitch
2024-09-03,14.066143245824227,108,-4.062900941822784,-58.0,stitch
2024-09-04,62.05594634414289,321,47.98980309831866,213.0,stitch
2024-09-05,74.63828243029033,550,12.582336086147443,229.0,stitch
2024-09-06,209.0578216256014,1232,134.41953919531107,682.0,stitch
2024-09-07,65.69717715480678,458,-143.36064447079463,-774.0,stitch
2024-09-08,307.0289199451982,1220,241.33174279039142,762.0,stitch
2024-09-09,140.57407660183938,828,-166.45484334335882,-392.0,stitch
2024-09-10,257.1123899151664,1390,116.538313313327,562.0,stitch
2024-09-11,243.51147042582238,1378,-13.600919489343994,-12.0,stitch
2024-09-12,249.7765760003857,1381,6.265105574563307,3.0,stitch
2024-09-13,130.4713313443454,859,-119.30524465604029,-522.0,stitch
2024-09-14,83.70001074023158,566,-46.771320604113825,-293.0,stitch
2024-09-15,288.02155892894945,1353,204.32154818871788,787.0,stitch
2024-09-16,78.07163343399542,481,-209.94992549495402,-872.0,stitch
2024-09-17,107.06514548379728,631,28.993512049801865,150.0,stitch
2024-09-18,220.69151151145815,880,113.62636602766086,249.0,stitch
2024-09-19,149.8198630117545,970,-70.87164849970364,90.0,stitch
2024-09-20,49.98244692563168,458,-99.83741608612283,-512.0,stitch
2024-09-21,291.2707421390918,1226,241.28829521346012,768.0,stitch
2024-09-22,73.83783793964311,454,-217.43290419944867,-772.0,stitch
2024-09-23,69.97530765103467,466,-3.86253028860844,12.0,stitch
2024-09-24,144.2714034434877,723,74.29609579245304,257.0,stitch
2024-09-25,52.982965290975656,478,-91.28843815251206,-245.0,stitch
2024-09-26,118.90993793390682,793,65.92697264293116,315.0,stitch
2024-09-27,424.1578688126179,1947,305.2479308787111,1154.0,stitch
2024-09-29,417.8968483384145,1776,-6.261020474203406,-171.0,stitch
2024-09-30,117.2807301057059,664,-300.6161182327086,-1112.0,stitch
2024-10-01,637.031699797962,2073,519.7509696922561,1409.0,stitch
2024-10-02,267.0881394036744,1120,-369.9435603942876,-953.0,stitch
2024-10-03,75.64949162316343,438,-191.43864778051096,-682.0,stitch
2024-10-04,451.42755685548366,1541,375.7780652323202,1103.0,stitch
2024-10-05,74.28327644779237,557,-377.14428040769127,-984.0,stitch
2024-10-06,551.0409849047901,2192,476.7577084569977,1635.0,stitch
2024-10-07,48.783295776051546,424,-502.25768912873855,-1768.0,stitch
2024-10-08,111.4467438022453,632,62.66344802619375,208.0,stitch
2024-10-09,2024.2054887443978,5441,1912.7587449421526,4809.0,stitch
2024-10-10,153.58155672187002,819,-1870.6239320225277,-4622.0,stitch
2024-10-11,302.6738729816235,1163,149.0923162597535,344.0,stitch
2024-10-13,46.67639929991057,456,-255.99747368171293,-707.0,stitch
2024-10-15,2.947791479080615,32,-43.72860782082996,-424.0,stitch
2024-10-16,78.92429167641458,722,75.97650019733396,690.0,stitch
2024-10-19,0.20597370868961007,1,-78.71831796772497,-721.0,stitch
2024-10-22,15.060924177172094,180,14.854950468482484,179.0,stitch
2024-10-23,81.71333234212574,661,66.65240816495364,481.0,stitch
2024-10-24,21.590938054877718,236,-60.12239428724802,-425.0,stitch
2024-10-25,52.948075664015626,378,31.357137609137908,142.0,stitch
2024-10-26,76.33877563422318,662,23.390699970207557,284.0,stitch
2024-10-27,49.36326861976087,455,-26.97550701446231,-207.0,stitch
2024-10-28,46.21283189179867,434,-3.1504367279622016,-21.0,stitch
2024-10-29,58.73921303541371,458,12.52638114361504,24.0,stitch
