code_insee,nom_standard,dep_code,population,superficie_km2,densite,latitude_mairie,longitude_mairie
01124,Cormoz,01,703,20,36.0,46.45,5.233
01125,Corveissiat,01,596,23,26.0,46.244,5.482
01127,Courmangoux,01,504,15,34.0,46.331,5.37
01128,Courtes,01,297,9,33.0,46.459,5.101
01129,Crans,01,306,13,23.0,45.964,5.193
01130,Bresse Vallons,01,2380,14,171.0,46.308,5.166
01133,Cressin-Rochefort,01,389,8,50.0,45.784,5.765
01134,Crottet,01,1818,12,149.0,46.278,4.893
01135,Crozet,01,2288,27,84.0,46.279,6.014
01136,Cruzilles-lès-Mépillat,01,943,12,79.0,46.224,4.882
01138,Culoz-Béon,01,3426,19,179.0,45.847,5.781
01139,Curciat-Dongalon,01,451,24,19.0,46.475,5.159
01140,Curtafond,01,784,13,62.0,46.271,5.09
01141,Cuzieu,01,433,5,90.0,45.819,5.674
01142,Dagneux,01,4753,7,696.0,45.851,5.075
01143,Divonne-les-Bains,01,10137,34,300.0,46.358,6.136
01145,Dompierre-sur-Veyle,01,1207,29,41.0,46.072,5.206
01146,Dompierre-sur-Chalaronne,01,437,5,92.0,46.139,4.898
01147,Domsure,01,526,15,35.0,46.419,5.294
01148,Dortan,01,1953,19,104.0,46.319,5.66
01149,Douvres,01,1094,5,209.0,45.989,5.374
01150,Drom,01,215,8,28.0,46.218,5.367
01151,Druillat,01,1139,21,55.0,46.06,5.318
01152,Échallon,01,765,28,27.0,46.21,5.741
01153,Échenevex,01,2127,16,129.0,46.309,6.036
01155,Évosges,01,142,12,12.0,45.96,5.498
01156,Faramans,01,877,11,78.0,45.904,5.125
01157,Fareins,01,2431,8,293.0,46.02,4.761
01158,Farges,01,1058,14,74.0,46.167,5.905
01159,Feillens,01,3381,15,228.0,46.336,4.888
01160,Ferney-Voltaire,01,10920,5,2285.0,46.256,6.108
01162,Flaxieu,01,64,3,22.0,45.809,5.734
01163,Foissiat,01,2014,40,50.0,46.369,5.175
01165,Francheleins,01,1585,14,116.0,46.074,4.809
01166,Frans,01,2482,8,307.0,45.991,4.773
01167,Garnerans,01,658,9,76.0,46.205,4.84
01169,Genouilleux,01,650,4,159.0,46.119,4.787
01170,Béard-Géovreissiat,01,1048,5,224.0,46.19,5.555
01171,Géovreisset,01,835,3,255.0,46.255,5.618
01173,Gex,01,13078,32,410.0,46.334,6.058
01174,Giron,01,176,9,19.0,46.225,5.774
01175,Gorrevod,01,786,7,115.0,46.418,4.945
01177,Grand-Corent,01,184,7,26.0,46.202,5.432
01179,Grièges,01,1901,15,129.0,46.255,4.851
01180,Grilly,01,864,8,115.0,46.331,6.115
01181,Groissiat,01,1230,6,199.0,46.229,5.613
01183,Guéreins,01,1495,4,339.0,46.109,4.78
01184,Hautecourt-Romanèche,01,758,21,35.0,46.159,5.417
01185,Plateau d'Hauteville,01,4807,51,95.0,45.977,5.602
01187,Haut Valromey,01,609,29,21.0,45.997,5.692
01188,Illiat,01,689,20,34.0,46.19,4.889
01189,Injoux-Génissiat,01,1123,30,38.0,46.051,5.803
01190,Innimond,01,89,13,7.0,45.782,5.572
01191,Izenave,01,155,13,12.0,46.039,5.526
01192,Izernore,01,2267,21,106.0,46.22,5.555
01193,Izieu,01,222,8,29.0,45.652,5.64
01194,Jassans-Riottier,01,6355,5,1266.0,45.983,4.759
01195,Jasseron,01,1861,19,99.0,46.212,5.325
01196,Jayat,01,1259,16,77.0,46.368,5.119
01197,Journans,01,380,2,158.0,46.144,5.33
01198,Joyeux,01,262,17,16.0,45.961,5.1
01199,Jujurieux,01,2124,15,137.0,46.039,5.41
01200,Labalme,01,210,9,24.0,46.093,5.483
01202,Lagnieu,01,7268,27,266.0,45.904,5.349
01203,Laiz,01,1299,10,126.0,46.248,4.89
01204,Le Poizat-Lalleyriat,01,746,15,49.0,46.154,5.714
01206,Lantenay,01,270,6,42.0,46.058,5.545
01207,Lapeyrouse,01,326,20,16.0,45.983,4.975
01208,Lavours,01,136,6,22.0,45.809,5.774
01209,Léaz,01,817,11,72.0,46.099,5.884
01210,Lélex,01,230,18,13.0,46.303,5.941
01211,Lent,01,1408,32,45.0,46.12,5.195
01212,Lescheroux,01,714,20,36.0,46.407,5.143
01213,Leyment,01,1392,14,97.0,45.923,5.293
01214,Leyssard,01,163,9,17.0,46.156,5.476
01215,Surjoux-Lhopital,01,141,4,38.0,46.022,5.778
01216,Lhuis,01,892,25,36.0,45.746,5.535
01219,Lompnas,01,163,13,13.0,45.803,5.519
01224,Loyettes,01,3381,21,159.0,45.774,5.204
01225,Lurcy,01,393,5,82.0,46.064,4.782
01227,Magnieu,01,655,6,105.0,45.777,5.719
01228,Maillat,01,679,12,59.0,46.13,5.539
01229,Malafretaz,01,1214,9,130.0,46.323,5.146
01230,Mantenay-Montlin,01,308,11,28.0,46.424,5.098
01231,Manziat,01,1955,13,154.0,46.359,4.906
01232,Marboz,01,2268,40,56.0,46.342,5.257
01233,Marchamp,01,132,13,10.0,45.778,5.548
01234,Marignieu,01,167,4,47.0,45.797,5.719
01235,Marlieux,01,1182,17,69.0,46.064,5.073
01236,Marsonnas,01,1030,18,56.0,46.341,5.071
01237,Martignat,01,1671,13,128.0,46.209,5.61
01238,Massieux,01,2721,3,850.0,45.91,4.833
01239,Massignieu-de-Rives,01,642,9,71.0,45.754,5.767
01240,Matafelon-Granges,01,629,22,29.0,46.262,5.555
01241,Meillonnas,01,1383,18,77.0,46.246,5.351
01242,Mérignat,01,136,3,44.0,46.069,5.437
01243,Messimy-sur-Saône,01,1288,6,219.0,46.05,4.765
01244,Meximieux,01,8085,14,597.0,45.905,5.196
01245,Bohas-Meyriat-Rignat,01,965,23,41.0,46.137,5.391
01246,Mézériat,01,2192,19,114.0,46.234,5.047
01247,Mijoux,01,297,22,14.0,46.366,5.997
01248,Mionnay,01,2227,20,111.0,45.895,4.93
01249,Miribel,01,10225,24,419.0,45.822,4.953
01250,Misérieux,01,1994,7,267.0,45.974,4.812
01252,Mogneneins,01,803,8,94.0,46.141,4.81
01254,Montagnat,01,2145,14,155.0,46.17,5.284
01255,Montagnieu,01,666,6,108.0,45.793,5.469
01257,Montanges,01,350,14,26.0,46.165,5.801
01258,Montceaux,01,1198,10,119.0,46.096,4.798
01259,Montcet,01,704,7,107.0,46.212,5.112
01260,Le Montellier,01,319,15,21.0,45.93,5.072
01261,Monthieux,01,682,11,63.0,45.958,4.94
01262,Montluel,01,6838,40,171.0,45.853,5.056
01263,Montmerle-sur-Saône,01,3792,4,934.0,46.079,4.76
01264,Montracol,01,1008,15,69.0,46.198,5.122
01265,Montréal-la-Cluse,01,3541,12,284.0,46.184,5.577
01266,Montrevel-en-Bresse,01,2578,10,257.0,46.337,5.131
01267,Nurieux-Volognat,01,990,19,51.0,46.18,5.522
01268,Murs-et-Gélignieux,01,240,6,40.0,45.642,5.661
01269,Nantua,01,3449,14,239.0,46.155,5.606
01272,Neuville-les-Dames,01,1515,26,58.0,46.162,5.005
01273,Neuville-sur-Ain,01,1799,20,90.0,46.082,5.372
01274,Les Neyrolles,01,632,10,66.0,46.141,5.633
01275,Neyron,01,2538,5,478.0,45.815,4.933
01276,Niévroz,01,1634,10,156.0,45.826,5.063
01277,Nivollet-Montgriffon,01,115,8,14.0,45.993,5.446
01279,Oncieu,01,73,8,10.0,45.96,5.474
01280,Ordonnaz,01,141,15,10.0,45.837,5.538
01281,Ornex,01,4690,6,829.0,46.276,6.093
01282,Outriaz,01,255,6,43.0,46.067,5.547
01283,Oyonnax,01,22277,36,620.0,46.258,5.656
01284,Ozan,01,725,7,111.0,46.392,4.915
01285,Parcieux,01,1319,3,419.0,45.916,4.824
01286,Parves et Nattages,01,955,6,173.0,45.744,5.743
01288,Péron,01,2838,26,109.0,46.189,5.926
